Code,Title,Dept,Level,A,B,C,D,F,FX,Pass,Not pass,IP,W,Total,#VALUE!,Gender,Semester,Year,teacher_id
ACC 306,Tax Accounting and Reporting,BS,1.0,5.0,2.0,8.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,27.0,18.5%   7.4%   29.6%   29.6%   14.8%,1,1,2021,1
CEC 103,General English (B1 level),PED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.0,0.0,0.0,22.0,0%   0%   0%   0%   0%,1,1,2021,2
CSS 105,Fundamentals of Programming,ENG,0.0,7.0,8.0,27.0,16.0,4.0,19.0,0.0,0.0,0.0,1.0,82.0,8.5%   9.8%   32.9%   19.5%   28%,0,1,2021,3
CSS 108,Programming Technologies and Educational Practice,ENG,1.0,3.0,5.0,9.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,32.0,9.4%   15.6%   28.1%   15.6%   31.3%,1,1,2021,4
CSS 108,Programming Technologies and Educational Practice,ENG,0.0,52.0,113.0,176.0,149.0,83.0,96.0,0.0,0.0,0.0,5.0,674.0,7.7%   16.8%   26.1%   22.1%   26.6%,0,1,2021,5
CSS 152,Physics 1,ENG,0.0,2.0,13.0,11.0,5.0,2.0,6.0,0.0,0.0,0.0,0.0,39.0,5.1%   33.3%   28.2%   12.8%   20.5%,1,1,2021,6
CSS 215,Introduction to Algorithms,ENG,0.0,0.0,14.0,6.0,10.0,3.0,14.0,0.0,0.0,0.0,0.0,47.0,0%   29.8%   12.8%   21.3%   36.2%,0,1,2021,7
CSS 220,Advanced Algorithms,ENG,0.0,13.0,83.0,57.0,24.0,8.0,10.0,0.0,0.0,0.0,0.0,195.0,6.7%   42.6%   29.2%   12.3%   9.2%,0,1,2021,8
CSS 220,Advanced Algorithms,ENG,0.0,15.0,95.0,55.0,24.0,5.0,19.0,0.0,0.0,0.0,2.0,215.0,7%   44.2%   25.6%   11.2%   11.2%,0,1,2021,9
CSS 220,Advanced Algorithms,ENG,0.0,2.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,8.0,25%   0%   12.5%   25%   37.5%,0,1,2021,10
CSS 225,Web programming fundamentals,ENG,0.0,5.0,3.0,1.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,24.0,20.8%   12.5%   4.2%   16.7%   45.8%,0,1,2021,3
CSS 253,Programming Technologies for Mathematics,ENG,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0%   0%   0%   0%   100%,1,1,2021,4
CSS 254,Digital design,ENG,0.0,16.0,57.0,17.0,11.0,3.0,4.0,0.0,0.0,0.0,1.0,109.0,14.7%   52.3%   15.6%   10.1%   6.4%,1,1,2021,11
CSS 305,Database Management Systems 2,ENG,1.0,6.0,14.0,19.0,11.0,2.0,12.0,0.0,0.0,0.0,0.0,64.0,9.4%   21.9%   29.7%   17.2%   21.9%,1,1,2021,12
CSS 306,Cyber Security,ENG,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,95.2%   4.8%   0%   0%   0%,0,1,2021,13
CSS 309,Low-level Architecture,ENG,1.0,57.0,27.0,24.0,4.0,0.0,9.0,0.0,0.0,0.0,1.0,122.0,46.7%   22.1%   19.7%   3.3%   7.4%,0,1,2021,14
CSS 324,Introduction to Machine Learning,ENG,1.0,3.0,14.0,9.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,42.0,7.1%   33.3%   21.4%   14.3%   23.8%,0,1,2021,15
CSS 342,Software engineering,ENG,0.0,19.0,16.0,11.0,7.0,0.0,3.0,0.0,0.0,0.0,1.0,57.0,33.3%   28.1%   19.3%   12.3%   5.3%,0,1,2021,16
CSS 342,Software engineering,ENG,1.0,16.0,28.0,21.0,14.0,4.0,21.0,0.0,0.0,0.0,0.0,104.0,15.4%   26.9%   20.2%   13.5%   24%,1,1,2021,17
CSS 346,FPGA Programming,ENG,1.0,4.0,10.0,20.0,3.0,2.0,8.0,0.0,0.0,0.0,1.0,48.0,8.3%   20.8%   41.7%   6.3%   20.8%,1,1,2021,18
CSS 375,RedHat - System Administration (I + II),ENG,0.0,5.0,4.0,10.0,2.0,4.0,15.0,0.0,0.0,0.0,0.0,40.0,12.5%   10%   25%   5%   47.5%,0,1,2021,19
CSS 381,Industrial practice 2,ENG,0.0,230.0,16.0,16.0,5.0,0.0,31.0,0.0,0.0,0.0,0.0,298.0,77.2%   5.4%   5.4%   1.7%   10.4%,1,1,2021,20
CSS 381,Industrial practice 2,ENG,0.0,97.0,3.0,10.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,124.0,78.2%   2.4%   8.1%   0%   11.3%,0,1,2021,21
CSS 391,Internship 1,ENG,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50%   50%   0%   0%   0%,0,1,2021,21
CSS 410,Research tools and methods,ENG,0.0,43.0,30.0,9.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,95.0,45.3%   31.6%   9.5%   10.5%   3.2%,0,1,2021,22
CSS 410,Research tools and methods,ENG,1.0,29.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,38.0,76.3%   2.6%   0%   0%   21.1%,0,1,2021,23
CSS 410,Research tools and methods,ENG,1.0,56.0,27.0,0.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,93.0,60.2%   29%   0%   3.2%   7.5%,1,1,2021,24
CSS 410,Research tools and methods,ENG,0.0,31.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,77.5%   17.5%   5%   0%   0%,1,1,2021,25
