Code,Subject,Dept,Level,A,B,C,D,FX,F,Pass,Not Pass,IP,W,Total,%,Gender,Semester,Year,teacher_id
ACC 207,Principles of Accounting,BS,0,24,25,16,9,10,30,0,0,0,1,115,20.9%   21.7%   13.9%   7.8%   34.8%,1,1,2022,61
ACC 207,Principles of Accounting,BS,0,37,23,39,30,13,39,0,0,0,0,181,20.4%   12.7%   21.5%   16.6%   28.7%,1,1,2022,62
ACC 302,Audit and Assurance (ACCA),BS,1,0,0,0,0,0,1,0,0,0,0,1,0%   0%   0%   0%   100%,0,1,2022,64
ACC 313,Cost Accounting (CIMA),BS,0,3,15,16,20,4,0,0,0,0,0,58,5.2%   25.9%   27.6%   34.5%   6.9%,1,1,2022,65
ACC 403,Financial Statement Analysis (ACCA),BS,0,5,3,7,39,0,6,0,0,0,0,60,8.3%   5%   11.7%   65%   10%,0,1,2022,63
ACC 407,Enterprise Resource Planning,BS,1,12,38,34,38,0,14,0,0,0,0,136,8.8%   27.9%   25%   27.9%   10.3%,1,1,2022,1
CSS 105,Fundamentals of Programming,ENG,0,17,59,73,38,23,22,0,0,0,1,233,7.3%   25.3%   31.3%   16.3%   19.3%,1,1,2022,380
CSS 105,Fundamentals of Programming,ENG,0,27,56,70,39,13,22,0,0,0,1,228,11.8%   24.6%   30.7%   17.1%   15.4%,0,1,2022,381
CSS 105,Fundamentals of Programming,ENG,0,12,35,38,42,10,18,0,0,0,0,155,7.7%   22.6%   24.5%   27.1%   18.1%,1,1,2022,382
CSS 108,Programming Technologies and Educational Practice,ENG,0,17,46,30,10,3,18,0,0,0,1,125,13.6%   36.8%   24%   8%   16.8%,0,1,2022,5
CSS 152,Physics 1,ENG,0,36,106,111,62,19,35,0,0,0,3,372,9.7%   28.5%   29.8%   16.7%   14.5%,1,1,2022,6
CSS 152,Physics 1,ENG,0,55,47,64,39,28,49,0,0,0,3,285,19.3%   16.5%   22.5%   13.7%   27%,0,1,2022,79
CSS 206,Database Management Systems 1,ENG,0,5,8,13,10,3,23,0,0,0,0,62,8.1%   12.9%   21%   16.1%   41.9%,1,1,2022,383
CSS 206,Database Management Systems 1,ENG,0,10,17,8,2,0,8,0,0,0,0,45,22.2%   37.8%   17.8%   4.4%   17.8%,1,1,2022,72
